timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1476264293980,16315,Load cache request,200,,Cache loader 1-1,text,true,,126,1,1,16315,0
1476264310415,9254,Load cache request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8080 failed to respond,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.NoHttpResponseException]]]

****** comparison: [[[200                                                            ]]]

/",2267,1,1,0,0
1476264320674,1013,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264322690,1001,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264324695,1002,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264326711,1001,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264328725,1002,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264330727,1001,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264332731,1011,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264334747,1003,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264336752,1002,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264338757,1001,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264340763,1008,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264342774,1005,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264344796,1015,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
1476264346814,1001,Load cache request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Permission denied: connect,Cache loader 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2202,1,1,0,0
